location,mood,latitude,longitude
Philippines,Negative,14.0683499,121.325674
,Positive,,
Thailand,Positive,8.7032493,98.2536072
Germany,Positive,51.0834196,10.4234469
,Positive,,
,Negative,,
United States of America,Positive,38.9719384,-95.2359496
South Korea,Positive,36.638392,127.6961188
United States of America,Positive,40.7127281,-74.0060152
,Positive,,
,Positive,,
Spain,Positive,40.4167047,-3.7035825
United States,Positive,39.7837304,-100.4458825
,Positive,,
Japan,Positive,35.6828387,139.7594549
France,Positive,45.7578137,4.8320114
Canada,Positive,46.724362,-75.559685
Indonesia,Positive,-9.5032359,124.4231951
South Africa,Positive,-33.928992,18.417396
France,Positive,48.9883962,7.3559935
,Negative,,
United States of America,Positive,40.4216419,-79.9941254
United States,Positive,39.7837304,-100.4458825
,Positive,,
Canada,Positive,43.9193171,-80.0973754
United States of America,Positive,35.1172406,-89.9132695
Slovenia,Positive,45.8133113,14.4808369
United States of America,Negative,45.709097,-68.8590201
Norway,Positive,60.3943055,5.3259192
,Positive,,
Spain,Positive,40.5916186,-4.7817538
India,Positive,22.3511148,78.6677428
Japan,Positive,35.444991,139.636768
United States of America,Positive,39.362033,-123.752998
United States of America,Positive,41.6500201,-72.7342163
France,Positive,48.8566969,2.3514616
,Positive,,
,Positive,,
Argentina,Positive,-23.3161458,-65.7595288
,Positive,,
Argentina,Positive,-23.3161458,-65.7595288
Liechtenstein,Negative,47.1416307,9.5531527
,Negative,,
Canada,Positive,43.466874,-80.524635
,Positive,,
,Negative,,
,Positive,,
United States of America,Negative,40.7127281,-74.0060152
Singapore,Negative,1.357107,103.8194992
United Kingdom,Positive,53.5782863,-2.4300367
,Negative,,
,Positive,,
,Negative,,
,Positive,,
,Positive,,
United Kingdom,Positive,53.5782863,-2.4300367
Brazil,Positive,-23.5506507,-46.6333824
Chile,Positive,-27.125959350000002,-109.3495764220578
Romania,Positive,46.9599823,22.0541733
United States of America,Positive,37.7790262,-122.4199061
,Negative,,
,Positive,,
Taiwan,Positive,25.1047591,121.5235231
,Positive,,
France,Positive,45.7578137,4.8320114
Spain,Negative,40.1887955,-3.6716211
Brazil,Negative,-23.5506507,-46.6333824
Brazil,Positive,-10.3333333,-53.2
,Positive,,
Germany,Positive,50.1106444,8.6820917
,Positive,,
United States of America,Positive,34.2331373,-102.4107493
,Positive,,
,Negative,,
Japan,Negative,36.5748441,139.2394179
Zimbabwe,Negative,-16.742872,31.2952086
,Positive,,
El Salvador,Negative,13.7352982,-89.2000952
Germany,Positive,50.735851,7.10066
,Positive,,
South Africa,Positive,-26.205,28.049722
India,Positive,28.6141793,77.2022662
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
Canada,Positive,44.9955309,-79.5692407
Japan,Positive,34.979149,138.38299
India,Positive,28.6141793,77.2022662
,Positive,,
France,Negative,44.8980172,1.46943
,Positive,,
Romania,Positive,44.4361414,26.1027202
,Positive,,
,Positive,,
,Negative,,
,Positive,,
,Positive,,
United States of America,Negative,41.2587459,-95.9383758
Spain,Positive,39.8560679,-4.0239568
,Positive,,
Brazil,Positive,-23.5506507,-46.6333824
India,Negative,22.3511148,78.6677428
Canada,Positive,49.9584438,-110.2732606
United States of America,Positive,34.2331373,-102.4107493
,Positive,,
Brazil,Positive,-23.5506507,-46.6333824
,Positive,,
,Positive,,
Brazil,Positive,-23.5506507,-46.6333824
,Negative,,
,Positive,,
Italy,Positive,41.8179234,12.9283673
United States of America,Positive,47.6038321,-122.3300624
Japan,Positive,36.9888678,136.8163563
,Positive,,
,Positive,,
